127.0.0.1, 2014-06-24 19:22:05, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 0.027694
127.0.0.1, 2014-06-24 19:22:11, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 1.978574
127.0.0.1, 2014-06-24 19:22:11, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 0.175431
127.0.0.1, 2014-06-24 19:22:11, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.031732
127.0.0.1, 2014-06-24 19:28:03, GET, /, HTTP/1.1, 303, 0.004020
127.0.0.1, 2014-06-24 19:28:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.726763
127.0.0.1, 2014-06-24 19:28:05, GET, /admin/default/index, HTTP/1.1, 303, 0.102372
127.0.0.1, 2014-06-24 19:28:06, GET, /admin/default/site, HTTP/1.1, 200, 0.169976
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.315201
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/js/jquery.js, HTTP/1.1, 304, 0.000678
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000473
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/css/calendar.css, HTTP/1.1, 304, 0.000354
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/css/web2py.css, HTTP/1.1, 304, 0.000326
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/js/web2py.js, HTTP/1.1, 304, 0.000343
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/js/calendar.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000457
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000507
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000998
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/js/share.js, HTTP/1.1, 304, 0.000881
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002440
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/images/twitter.png, HTTP/1.1, 304, 0.000500
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/images/facebook.png, HTTP/1.1, 304, 0.000315
127.0.0.1, 2014-06-24 19:28:08, GET, /AssignmentPortal/static/images/gplus-32.png, HTTP/1.1, 304, 0.000863
127.0.0.1, 2014-06-24 19:28:13, GET, /AssignmentPortal/default/autoAssignment, HTTP/1.1, 200, 0.053813
127.0.0.1, 2014-06-24 19:28:15, GET, /AssignmentPortal/static/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000313
127.0.0.1, 2014-06-24 19:28:15, GET, /AssignmentPortal/static/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000394
127.0.0.1, 2014-06-24 19:28:16, GET, /AssignmentPortal/default/user/logout, HTTP/1.1, 303, 0.076102
127.0.0.1, 2014-06-24 19:28:21, GET, /, HTTP/1.1, 303, 0.000386
127.0.0.1, 2014-06-24 19:28:22, GET, /welcome/default/index, HTTP/1.1, 200, 1.145222
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.573638
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000520
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/js/jquery.js, HTTP/1.1, 304, 0.000557
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/css/web2py.css, HTTP/1.1, 304, 0.000418
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/css/calendar.css, HTTP/1.1, 304, 0.000358
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/js/web2py.js, HTTP/1.1, 304, 0.000385
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/js/calendar.js, HTTP/1.1, 304, 0.000500
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001369
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000396
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001295
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/js/share.js, HTTP/1.1, 304, 0.000787
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000880
127.0.0.1, 2014-06-24 19:28:23, GET, /AssignmentPortal/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000388
127.0.0.1, 2014-06-24 19:28:24, GET, /AssignmentPortal/static/images/twitter.png, HTTP/1.1, 304, 0.001405
127.0.0.1, 2014-06-24 19:28:24, GET, /AssignmentPortal/static/images/facebook.png, HTTP/1.1, 304, 0.000564
127.0.0.1, 2014-06-24 19:28:24, GET, /AssignmentPortal/static/images/gplus-32.png, HTTP/1.1, 304, 0.000709
127.0.0.1, 2014-06-24 19:28:24, GET, /AssignmentPortal/static/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000348
127.0.0.1, 2014-06-24 19:28:25, GET, /AssignmentPortal/static/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000442
127.0.0.1, 2014-06-24 19:28:25, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 0.030145
127.0.0.1, 2014-06-24 19:28:29, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 1.138638
127.0.0.1, 2014-06-24 19:28:29, GET, /AssignmentPortal/default/user/login, HTTP/1.1, 303, 0.096765
127.0.0.1, 2014-06-24 19:28:29, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.030876
127.0.0.1, 2014-06-24 19:28:34, GET, /AssignmentPortal/default/user/logout, HTTP/1.1, 303, 0.048087
127.0.0.1, 2014-07-03 12:13:10, GET, /, HTTP/1.1, 303, 0.001968
127.0.0.1, 2014-07-03 12:13:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.559283
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.019819
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.014880
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.017232
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.018723
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.028735
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002859
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000610
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000528
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000603
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006108
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000611
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000867
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001542
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000757
127.0.0.1, 2014-07-03 12:13:11, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000612
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/default/index, HTTP/1.1, 200, 0.198505
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002335
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.006847
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.039675
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.041354
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.039815
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001416
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.059483
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.059028
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001234
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000771
127.0.0.1, 2014-07-03 12:13:22, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000449
127.0.0.1, 2014-07-03 12:13:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2014-07-03 12:14:03, POST, /admin/default/index, HTTP/1.1, 303, 0.144612
127.0.0.1, 2014-07-03 12:14:03, GET, /admin/default/site, HTTP/1.1, 200, 0.096687
127.0.0.1, 2014-07-03 12:14:03, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000751
127.0.0.1, 2014-07-03 12:14:03, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000832
127.0.0.1, 2014-07-03 12:14:04, POST, /admin/default/check_version, HTTP/1.1, 200, 0.641769
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.273486
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001777
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/css/calendar.css, HTTP/1.1, 200, 0.001699
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/js/jquery.js, HTTP/1.1, 200, 0.000916
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/js/calendar.js, HTTP/1.1, 200, 0.000522
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/css/web2py.css, HTTP/1.1, 200, 0.000426
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/js/web2py.js, HTTP/1.1, 200, 0.000409
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000335
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000328
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/js/share.js, HTTP/1.1, 200, 0.000909
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000849
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001768
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002606
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/images/gplus-32.png, HTTP/1.1, 200, 0.000847
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/images/twitter.png, HTTP/1.1, 200, 0.001414
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/images/facebook.png, HTTP/1.1, 200, 0.000766
127.0.0.1, 2014-07-03 12:14:12, GET, /AssignmentPortal/static/images/favicon.ico, HTTP/1.1, 200, 0.000332
127.0.0.1, 2014-07-03 12:14:16, GET, /AssignmentPortal/default/autoAssignment, HTTP/1.1, 200, 0.252709
127.0.0.1, 2014-07-03 12:14:24, GET, /admin/default/design/AssignmentPortal, HTTP/1.1, 200, 0.196870
127.0.0.1, 2014-07-03 12:14:24, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000537
127.0.0.1, 2014-07-03 12:14:24, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001183
127.0.0.1, 2014-07-03 12:14:24, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000783
127.0.0.1, 2014-07-03 12:14:24, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000282
127.0.0.1, 2014-07-03 12:14:27, GET, /AssignmentPortal/appadmin/index, HTTP/1.1, 200, 0.136430
127.0.0.1, 2014-07-03 12:14:31, GET, /AssignmentPortal/appadmin/select/db, HTTP/1.1, 200, 0.229270
127.0.0.1, 2014-07-03 12:14:36, GET, /AssignmentPortal/appadmin/index, HTTP/1.1, 200, 0.108610
127.0.0.1, 2014-07-03 12:14:44, GET, /AssignmentPortal/appadmin/select/db, HTTP/1.1, 200, 0.354292
127.0.0.1, 2014-07-03 12:15:13, GET, /AssignmentPortal/appadmin/index, HTTP/1.1, 200, 0.082242
127.0.0.1, 2014-07-03 12:33:02, GET, /, HTTP/1.1, 303, 0.002078
127.0.0.1, 2014-07-03 12:33:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.094943
127.0.0.1, 2014-07-03 12:33:04, GET, /admin/default/index, HTTP/1.1, 303, 0.050773
127.0.0.1, 2014-07-03 12:33:04, GET, /admin/default/site, HTTP/1.1, 200, 0.039831
127.0.0.1, 2014-07-03 12:33:06, GET, /AssignmentPortal/default/index, HTTP/1.1, 500, 0.225778
127.0.0.1, 2014-07-03 12:33:08, GET, /admin/default/design/AssignmentPortal, HTTP/1.1, 200, 0.084422
127.0.0.1, 2014-07-03 12:33:10, GET, /AssignmentPortal/appadmin/index, HTTP/1.1, 500, 0.019180
127.0.0.1, 2014-07-03 12:33:14, GET, /admin/default/ticket/AssignmentPortal/127.0.0.1.2014-07-03.12-33-06.5a85eef6-fdc9-46e6-b1ba-ce33ffe2f69a, HTTP/1.1, 200, 0.107045
127.0.0.1, 2014-07-03 12:35:26, GET, /AssignmentPortal/appadmin/index, HTTP/1.1, 200, 0.086219
127.0.0.1, 2014-07-03 12:35:27, GET, /AssignmentPortal/default/index, HTTP/1.1, 500, 0.048076
127.0.0.1, 2014-07-03 12:35:32, GET, /admin/default/ticket/AssignmentPortal/127.0.0.1.2014-07-03.12-35-27.6f73dceb-4001-4da4-9c89-11d522432299, HTTP/1.1, 200, 0.052672
127.0.0.1, 2014-07-03 12:35:49, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.061061
127.0.0.1, 2014-07-03 12:35:52, GET, /AssignmentPortal/default/uploadAssignment, HTTP/1.1, 500, 0.081780
127.0.0.1, 2014-07-03 12:35:54, GET, /admin/default/ticket/AssignmentPortal/127.0.0.1.2014-07-03.12-35-52.0a38429d-64ec-4801-9c35-cce82b4f97f8, HTTP/1.1, 200, 0.058259
127.0.0.1, 2014-07-03 12:36:08, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.042058
127.0.0.1, 2014-07-03 12:36:09, GET, /AssignmentPortal/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000597
